Monthly El Nino Sea Surface Temperature (degrees Celsius)
Year.Month    SST (!Uo!NC)
1934.541667   0.06
1934.625000   0.44
1934.708333   0.09
1934.791667  -0.11
1934.875000   0.07
1934.958333  -0.66
1935.041667  -0.80
1935.125000  -0.62
1935.208333  -0.70
1935.291667  -0.85
1935.375000  -0.23
1935.458333  -0.20
1935.541667  -0.11
1935.625000   0.65
1935.708333   0.72
1935.791667   0.22
1935.875000   0.43
1935.958333   0.08
1936.041667   0.07
1936.125000   0.08
1936.208333   0.07
1936.291667   0.34
1936.375000   0.42
1936.458333  -0.42
1936.541667  -0.24
1936.625000  -0.46
1936.708333  -0.29
1936.791667   0.38
1936.875000  -0.03
1936.958333  -0.66
1937.041667   0.03
1937.125000  -0.33
1937.208333   0.07
1937.291667   1.16
1937.375000  -0.36
1937.458333   0.08
1937.541667   0.17
1937.625000  -0.70
1937.708333  -0.09
1937.791667  -0.14
1937.875000  -0.49
1937.958333  -0.28
1938.041667  -1.16
1938.125000  -0.17
1938.208333  -0.25
1938.291667  -0.56
1938.375000  -0.02
1938.458333  -0.73
1938.541667  -1.98
1938.625000  -1.46
1938.708333  -0.93
1938.791667  -0.44
1938.875000  -1.12
1938.958333  -0.16
1939.041667  -0.60
1939.125000  -0.60
1939.208333  -0.81
1939.291667   0.79
1939.375000   0.62
1939.458333   0.33
1939.541667   0.20
1939.625000   0.64
1939.708333   0.09
1939.791667   0.39
1939.875000   0.27
1939.958333   0.55
1940.041667   2.40
1940.125000   1.33
1940.208333   1.83
1940.291667   1.81
1940.375000   0.89
1940.458333   0.98
1940.541667   0.54
1940.625000   0.45
1940.708333   0.79
1940.791667   0.98
1940.875000   0.00
1940.958333   0.18
1941.041667   1.80
1941.125000   0.36
1941.208333   0.99
1941.291667   1.20
1941.375000   1.23
1941.458333  -0.50
1941.541667  -0.74
1941.625000   0.00
1941.708333   0.35
1941.791667   0.62
1941.875000   1.01
1941.958333   1.25
1942.041667   0.69
1942.125000   0.47
1942.208333   0.01
1942.291667   0.25
1942.375000  -0.34
1942.458333  -0.80
1942.541667  -0.78
1942.625000  -1.38
1942.708333  -1.99
1942.791667  -1.71
1942.875000  -1.31
1942.958333  -1.21
1943.041667  -0.81
1943.125000  -1.12
1943.208333  -0.83
1943.291667   0.09
1943.375000   0.38
1943.458333   0.56
1943.541667   0.59
1943.625000   0.00
1943.708333  -0.76
1943.791667  -0.03
1943.875000  -0.23
1943.958333  -0.27
1944.041667  -0.52
1944.125000   0.48
1944.208333   0.27
1944.291667   0.94
1944.375000   0.00
1944.458333   0.24
1944.541667   0.54
1944.625000   0.55
1944.708333  -0.18
1944.791667  -0.58
1944.875000  -0.70
1944.958333  -0.26
1945.041667  -0.70
1945.125000  -0.30
1945.208333  -0.51
1945.291667   0.19
1945.375000   0.45
1945.458333   0.43
1945.541667  -0.47
1945.625000   0.29
1945.708333   0.21
1945.791667  -0.20
1945.875000  -0.50
1945.958333  -0.10
1946.041667   0.43
